Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/2/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antigua and Barbuda,ATG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,12540.96037,13116.66462,14195.67941,15375.84246,15979.20691,15971.20953,16825.72898,18536.36359,19953.24497,22258.16461,23747.30093,24963.47045,26174.19659,26738.2436,26958.5715,26803.85445,27658.82755,28878.87179,27030.2563,28198.36974,29106.11681,29850.44111,30356.14404,31815.72432,29771.14438,29660.01022,31058.12232,32416.26295,34016.86982,37772.2323,40620.4163,39956.235,34572.38605,31615.92107,30533.67842,31200.27099,30790.85078,31860.9667,32787.96144,34268.75512,34975.35798,36372.07766
Australia,AUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,24717.80942,24833.25384,24548.50121,25578.90411,26832.18411,27885.75694,27905.67333,29292.39766,30246.73162,31706.84172,33317.90197,33500.11595,34176.82325,34537.96712,35056.5474,35095.01188,35643.98204,36512.54228,36414.12453,37479.2614,38148.58426,38801.29966,39429.83265,38075.08621,39371.13999,40875.11105,41833.8286,42255.30162,43954.76706,44889.44,45808.52149,45049.23629,44689.85424,46037.98042,47366.61999,48592.24214,49818.1421,51217.96187,53006.68056,55063.352,56550.77534,56870.65369,58428.76335,59435.44739,61132.9829,62264.59686,63067.31601,65083.97511,66126.16004,66031.89238,66356.87133,67052.83754,68462.77063,69054.74282,69779.94168,70389.66879,71271.5319,71722.70714,72603.56151
Austria,AUT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,9839.014621,10327.10031,10535.85951,10901.60831,11492.40309,11815.34109,12394.82201,12672.59118,13170.78139,13949.10818,14779.14938,15465.928,16330.84169,17034.8489,17676.27452,17658.76964,18499.92215,19432.25307,19407.02413,20481.4839,20836.09573,20753.03881,21155.25785,21819.45426,21832.01651,22367.0244,22867.24097,23162.92473,23892.49822,24709.64597,25587.71505,26205.39893,26461.18782,26382.13394,26912.08813,27587.8272,28197.91439,28755.66152,29752.86046,30751.08191,31712.80247,31991.95801,32360.72031,32506.65062,33189.19584,33703.58815,34695.62531,35872.40749,36282.53982,34825.30881,35379.92903,36291.47474,36372.20491,36167.68416,36123.42617,36129.02752,36469.38741,37140.79212,37941.04286
Azerbaijan,AZE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603.020251,1567.27958,1194.833904,904.9743781,716.9375699,625.098094,626.8619461,656.8527939,715.7126333,761.9590017,839.6104674,915.6105139,994.5851357,1087.842023,1178.149642,1492.245452,1984.642674,2461.923019,2666.099916,2855.985917,2957.35787,2873.156481,2897.689964,3027.578049,3073.662001,3069.179543,2942.061192,2905.117123,2919.996954
Burundi,BDI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,158342.1287,133966.4304,143349.863,146402.3095,152405.7108,154965.397,158222.2214,175511.2965,170598.7765,164318.2851,195625.8459,198099.7781,183353.0734,194056.6586,190463.9756,188971.5141,200194.799,218317.4667,211071.5738,209184.778,205868.1506,224997.2538,216872.3865,219038.0599,213512.4914,232153.5172,233032.6198,238990.4873,244139.3958,240982.7239,243368.6434,249745.1522,246914.8418,227015.8825,214586.3402,194684.3192,176950.0128,172372.4529,178708.5276,174601.3018,170072.6964,169667.7691,172491.9313,165324.7478,167907.7883,164055.2124,167413.4174,167589.1804,170029.9849,170804.6805,173804.6536,175105.4819,177203.3448,180193.5979,182034.3291,169498.7067,163213.125,158892.9695,156403.0317
Belgium,BEL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,9961.545846,10422.79103,10922.46323,11312.87068,11985.88913,12300.45215,12603.22317,13018.0678,13510.80744,14365.80966,15154.16864,15729.49496,16497.73732,17495.43614,18236.67886,17826.56702,18800.63559,18895.01077,19413.86586,19850.50847,20709.83866,20652.54411,20781.07092,20847.53134,21362.03204,21708.42142,22096.23585,22586.65694,23578.39075,24307.90592,24995.88483,25359.66787,25643.58601,25297.91061,26033.90746,26598.98649,26970.06477,27903.16219,28393.63297,29338.07687,30330.46963,30471.6297,30875.45995,30984.57535,31972.1476,32462.67451,33057.48072,33947.42151,33944.07126,32913.36408,33509.02833,33670.70447,33541.10009,33450.36711,33720.0353,34108.40883,34429.09475,34891.55812,35247.88234
Benin,BEN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,234106.5928,238107.2276,226546.7308,233533.6912,244913.7295,253334.4255,257521.132,255240.548,259703.9524,261640.5253,261471.7147,252000.0071,262290.9571,265887.2307,268409.6486,249191.3522,245235.7421,250988.7846,247612.2949,256900.0115,267042.9226,285710.988,284095.8465,264194.4673,277127.7515,289521.2549,287344.6598,274874.2623,275865.3134,259809.3933,274117.3751,276213.5526,274659.5758,280688.8758,276715.2094,283935.7374,287042.0367,294449.5708,297188.7263,303957.1147,312309.2489,319158.5722,323971.536,325095.6878,329444.9913,325335.3545,328518.1742,338387.9416,345053.1516,343309.1388,340853.5405,341249.1293,347817.2208,362563.6558,375013.0507,372406.191,376626.4492,387800.5097,403216.292
Burkina Faso,BFA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,89447.29507,91823.03137,96159.03275,93665.22076,94468.10763,96585.15967,95598.9378,102346.6541,103722.5043,104022.0494,102358.3744,102013.4537,102547.6534,101179.2656,107576.0821,108740.1843,115773.2782,113933.952,116777.0191,118500.9832,116798.5109,118939.0545,127161.138,124426.2369,119124.3818,125980.8736,132525.5241,128811.5516,132750.5732,132072.3383,127831.2123,135742.682,132443.4248,133364.6852,131483.1243,135234.3203,146035.9558,150998.4343,157554.3485,164510.8716,162812.0624,168687.3287,171039.7847,179117.4935,181740.0269,191723.8493,197713.6505,202696.6544,211002.1212,210775.5092,215495.6897,222965.3553,230343.8136,236528.1567,239560.6691,241680.9115,248666.4564,256805.4451,265792.2089
Bangladesh,BGD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,19592.40505,20211.33869,20730.02407,20062.3896,21622.03433,21317.46223,21186.58707,20128.30482,21356.72523,21010.00655,21654.31247,20061.99885,16975.18333,17277.33779,18630.28968,17530.97339,18113.43412,18139.10268,18910.88492,19287.45395,18930.14138,19771.23563,19672.43492,19911.55674,20331.25741,20467.27771,20766.97358,20990.9535,20947.44232,21004.85575,21653.27229,21892.89699,22574.69023,23131.2874,23522.30229,24204.74216,24766.20216,25337.48094,26101.32479,26773.22745,27645.36524,28506.18803,29065.01835,29920.06854,30983.23635,32521.8152,34227.432,36196.68015,37936.35426,39407.71629,41138.10138,43299.12518,45593.2189,47779.14093,50099.34777,52789.07325,55930.50591,59365.81572,63365.30113
Bulgaria,BGR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,4762.855408,4979.619827,5080.82035,5242.010437,5407.385768,5552.571556,5787.736358,6129.132498,6792.310203,6646.160695,6150.143922,5686.787842,5330.154374,5293.311626,5407.87788,5587.384219,5655.851264,5628.430855,6025.855581,5550.22371,5843.524469,6185.756227,6696.838307,7098.145197,7612.176455,8216.063461,8847.810202,9567.72248,10215.33225,9912.655655,10110.24259,10370.12774,10433.59822,10543.97625,10798.92989,11245.30527,11770.27148,12308.44437,12781.12746
Bahrain,BHR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,7965.561786,7255.147546,6501.354321,6732.669112,6882.560255,6364.353834,6230.891621,6641.499562,6858.518953,6656.141613,6743.470362,7297.277935,7587.125253,8353.990787,8130.336273,8238.287945,8355.014291,8377.949544,8510.754603,8558.193738,8631.163041,8428.503824,8286.443645,8294.135542,8326.37074,8296.88865,8195.275965,8210.90259,8107.570061,7819.371922,7791.53168,7714.268502,7868.037291,8199.058728,8420.934454,8436.047355,8398.629252,8319.63477,8060.918583
"Bahamas, The",BHS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,18156.84486,19118.47716,20075.64271,21099.72037,22204.75223,23408.05369,24428.77235,25679.16808,26783.92775,28190.92497,25795.9411,25535.28499,24091.24163,25393.12613,20727.27994,17305.99411,17824.6659,19042.69506,21270.50607,26243.53709,27336.72077,24268.85495,25323.2787,25663.06145,28683.16302,29471.64441,29444.06969,29792.58823,29965.82266,31437.71053,30393.77215,28588.86892,26976.23755,26556.15766,26918.0173,27661.6784,28444.80382,28689.92685,29708.22135,31455.54339,32322.25357,32670.33025,33004.03042,32017.47523,31716.21291,32190.95054,32385.65339,32235.19439,30909.62259,29117.25838,29120.67324,28921.48274,29485.62093,29077.96976,28763.49381,28786.55072,28021.25256,28138.80936,
Bosnia and Herzegovina,BIH,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.791024,1285.113409,2470.007983,3344.626145,3868.181983,4229.315261,4452.623551,4643.171903,4884.220406,5075.82764,5382.559985,5852.264515,6169.145095,6534.962924,6905.223677,6730.744729,6845.269105,6994.527986,7045.203402,7337.784201,7550.981246,7903.891716,8256.270991,8605.750155,8943.256911
Belarus,BLR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967.856461,3918.319541,3534.532821,3258.572009,2880.695101,2589.458338,2670.871437,2987.996975,3254.429069,3379.263206,3592.144503,3781.231114,3997.369401,4308.961065,4835.198033,5325.959376,5894.536792,6430.907808,7111.381777,7141.509231,7711.549438,8141.266727,8286.210728,8368.032443,8504.847374,8166.129167,7949.832101,8153.942657,8414.038185
Belize,BLZ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1879.829249,1916.849519,1955.281155,1995.235813,2035.947763,2074.930031,2109.746038,2147.700813,2238.990703,2290.177845,2342.899118,2384.70427,2579.657884,2672.65225,2988.534503,3050.535044,3006.918393,3159.206944,3360.961393,3553.764552,3951.57277,3903.998029,3798.527104,3614.016965,3581.288734,3517.218878,3576.116817,3852.072747,4117.887425,4540.94893,4950.418571,5414.695911,5967.884564,6236.565767,6120.757636,6002.943038,5897.722592,5888.611337,5879.008356,6161.144074,6728.847421,6851.685662,7001.681543,7454.578454,7601.352241,7596.860465,7739.592694,7623.764568,7669.908384,7529.167819,7595.414682,7577.029224,7620.490533,7513.903938,7622.648755,7718.960029,7518.037188,7476.541971,7557.687739
Bermuda,BMU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,25406.46983,25952.52466,26472.60546,26138.85084,28330.16852,28967.81785,32544.02663,36155.33104,36219.95825,36770.8409,38381.16163,39991.36032,41016.76838,41934.80775,42619.53078,44559.26135,48359.72257,51019.90206,51567.97282,52479.81789,55747.28582,56680.62669,53298.51657,53901.66824,53687.91418,52173.06355,55181.86599,56789.01197,58588.13904,58354.11876,57888.18356,56130.76624,56505.07596,57893.83864,57838.43555,59952.29311,61119.53313,63542.14263,65537.12901,67375.9196,73000.67925,77432.8203,75793.77543,77867.69838,79156.46376,79962.34062,83912.6978,85815.31254,86612.58101,81582.11957,80501.65837,78488.22873,74423.94827,72328.45649,,,,,
Bolivia,BOL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1667.304485,1669.269863,1728.091629,1809.307037,1843.556596,1895.294254,1989.985449,2072.385155,2202.652251,2253.109226,2320.865619,2386.364249,2521.114539,2608.136493,2626.430447,2756.953477,2820.982017,2896.200042,2891.124479,2832.717424,2735.018956,2686.156421,2528.321591,2377.679548,2325.359594,2240.003334,2137.495186,2144.702073,2160.989783,2195.906929,2249.59817,2318.556938,2307.540791,2356.068838,2415.190698,2476.588679,2532.462763,2604.954634,2682.137092,2641.292803,2655.685899,2649.426269,2664.786875,2686.940556,2748.699394,2819.473271,2903.418635,2984.172102,3114.536776,3165.902512,3242.811081,3356.665368,3472.594442,3650.654274,3790.976561,3915.423658,4022.394596,4130.840981,4244.528167
Brazil,BRA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,6011.806416,6439.360725,6580.170226,6447.428591,6483.519095,6496.454312,6582.672435,6722.714301,7296.073935,7802.718789,8275.835454,8986.703236,9830.209501,10941.36906,11651.91256,11971.88075,12835.73449,13112.35583,13219.13767,13783.45569,14688.41897,13716.22616,13476.48983,12720.27578,13093.67707,13832.06803,14630.41637,14857.69657,14559.71423,14759.65057,14045.00733,14008.70629,13707.25966,14109.85109,14621.69791,15023.70324,15113.31308,15383.93369,15201.73152,15048.32483,15486.50593,15488.57643,15753.34968,15733.98307,16441.55241,16774.70881,17250.23055,18108.37858,18842.56641,18638.70041,19854.75871,20455.64404,20663.17375,21098.93703,21024.56766,20109.68696,19285.45077,19333.9364,19397.36521
Barbados,BRB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,2616.892021,2551.423093,2647.302117,2728.798853,2847.399911,3058.113952,3178.657179,3106.22271,2943.931487,2950.688415,3047.002509,3070.673488,3216.559642,3287.354807,3388.331782,3497.116831,3369.025355,3225.21525,2988.747974,3013.938471,3115.97513,3166.32513,3278.424559,3419.255967,3532.019485,3528.920211,3671.620352,3571.376147,3587.821158,3653.277634,3691.823717,3824.147827,4024.117314,4077.143882,4063.998057,3886.46195,3882.593547,3896.292056,3897.426859,3889.608014,3883.086106,3911.342894,3983.260787,4016.951225,
Brunei Darussalam,BRN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,62219.56833,59908.73869,69177.95887,73860.78105,76040.4012,90018.09983,81010.16356,62954.14931,63525.48904,62034.47679,60662.05386,58087.33298,54927.61622,54463.19797,53519.67603,51459.5511,50559.81501,50683.30604,51605.92423,50331.75649,50520.76738,51422.61623,51598.83232,49644.1787,48255.34242,48651.01468,48992.73183,49320.25621,50233.10466,50739.19863,50123.96413,49535.2709,50994.5455,50432.92201,48873.86123,47450.56837,48090.03566,49252.19971,49041.45227,47354.1186,45637.90819,44817.2723,43202.80491,43294.92571,42864.27941
Bhutan,BTN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,11632.18507,12893.88847,12997.62854,14109.59706,14361.46705,14554.03411,15771.25083,19655.63591,20019.19889,20986.58468,22891.0775,22634.47717,23681.003,24238.45992,25472.05869,27135.0664,28283.058,29249.56997,30284.03532,31937.72178,33392.6808,35376.80406,38384.86651,40548.7066,42201.84326,44516.13592,46937.84107,54730.28159,56764.83332,59944.89351,66275.42111,70701.1992,73409.70348,74068.76287,77363.83536,81504.5832,86987.34507,89932.62855,90916.40443
Botswana,BWA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2174.030174,2267.110994,2367.036034,2451.460467,2560.690342,2650.919474,2760.096614,2862.914575,3097.273962,3481.966792,3971.445162,4852.872064,5941.486781,6968.821966,7318.837238,7651.762516,8151.732969,8782.46572,9656.0021,10420.88085,11243.79519,11834.14319,12826.2519,14027.99685,14705.48961,15191.50799,15821.28543,17027.34153,19573.74988,21340.12257,22036.91244,22974.15748,22998.71864,22843.7263,23095.56301,24128.45585,24931.71532,26381.68012,25903.46384,27800.03776,27782.05769,27330.38829,28479.64558,29285.87377,29547.96993,30318.21728,32194.9126,34124.46548,35495.23454,32143.768,34306.25432,35870.39935,37025.20006,40765.7108,41927.08658,40591.29087,41569.31846,41901.4225,42816.15136
Central African Republic,CAF,GDP per capita (constant LCU),NY.GDP.PCAP.KN,250907.6574,259126.4074,245347.9905,239377.7266,239914.9331,237596.252,234366.7346,240260.2116,238620.2452,250562.0169,251836.9605,250618.5759,246958.1568,248028.2112,259702.825,256230.3184,264922.0286,269221.474,266245.5578,253239.3612,235454.8331,225155.248,235165.6059,209507.3032,222887.755,225828.81,228903.2748,213562.9656,213414.908,213531.9736,204405.1912,198207.1274,180414.4718,175854.4969,179242.2046,186922.2157,174803.2862,179499.0384,183444.531,185640.6411,176921.2787,180768.8732,183359.95,169929.9775,176537.6432,174677.8784,179470.5237,184164.6399,184633.378,197518.2271,204349.7627,211385.8213,221178.8122,141105.0324,140756.8028,146229.4994,152043.7615,156804.7453,161144.4735
Canada,CAN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,18600.02931,19612.96054,20280.8236,21224.03512,22159.91283,23209.33446,23500.10491,24279.19214,25159.73368,25521.16452,25763.55164,26869.31292,28357.20197,28881.39185,28878.86159,30176.85024,30851.21677,31670.78068,32522.66227,32798.00004,33522.54694,32069.94656,32580.57182,34181.62322,35475.36478,35877.41891,36849.50776,37979.02834,38168.13322,37658.48323,36417.59637,36313.16413,36871.95275,38109.53791,38732.57891,38950.32734,40215.58587,41437.9588,43223.77507,45040.81586,45351.26996,46214.17016,46624.28075,47617.33292,48680.52394,49460.7921,49998.10737,49957.95435,47944.43904,48879.17734,49926.32036,50257.48319,50888.04122,51824.1063,51793.64169,51777.41586,52691.04375,52929.68808
Central Europe and the Baltics,CEB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,51708.55374,53534.22442,54827.94201,56084.58087,56594.96205,52496.00788,52055.83417,53503.76856,53717.82035,54945.75921,57246.58716,57845.97509,56755.93887,56874.26086,58375.2889,60253.18989,61054.52467,61634.17847,63188.19006,65393.86419,67104.21863,65663.83341,64915.45018,64245.89761,64545.08203,64423.51089,64485.99221,65836.27611,67603.53654,68422.12893,70717.26969,71193.45984,70771.83246,70276.50737,71732.73209,73495.0611,75948.39102,78367.79128,79045.60781,76329.42212,77806.72766,78248.95803,78201.37994,78739.07041,79689.31381,79837.85015,80235.23719,80775.10846,82197.87565
Channel Islands,CHI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33801.93266,34825.08762,36633.7552,35921.24133,35217.06747,33982.14245,33911.89651,34161.06679,35517.47468,37216.43084,,,,,,,,,,,
Chile,CHL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1959813.088,2020179.829,2058615.99,2135143.737,2147181.881,2127134.786,2323949.261,2366803.084,2411230.845,2465444.714,2470036.778,2659397.64,2590342.24,2421209.236,2440148.937,2092270.558,2139221.833,2326771.551,2468358.293,2636749.693,2806327.165,2947464.449,2586664.52,2423033.676,2486926.975,2548854.889,2645225.632,2772216.784,2928406.253,3166979.081,3219335.86,3413844.591,3732942.502,3914665.27,4047321.58,4343111.487,4572904.495,4846508.864,4991450.097,4910209.278,5111247.355,5220944.406,5325395.543,5485467.898,5820237.193,6090686.205,6407429.378,6650292.697,6811641.91,6634440.663,6949591.444,7301087.04,7615706.761,7846578.883,7900920.866,7988300.654,8014828.899,8002486.427,8209564.888
China,CHN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1483.494071,1089.958051,1020.729312,1098.531898,1268.463747,1448.558822,1558.771028,1431.551968,1337.478223,1521.7739,1766.024687,1839.476766,1863.207965,1962.466513,1966.744801,2100.80679,2036.074169,2160.559778,2369.202723,2515.482608,2678.058281,2780.729602,2984.888861,3260.848294,3705.573682,4146.874468,4450.895604,4892.075771,5354.763462,5494.025015,5625.530682,6065.05102,6842.890506,7702.770043,8610.277187,9449.803235,10279.70243,11114.26501,11870.90265,12670.91483,13638.97294,14669.50668,15902.02617,17389.24159,19034.12039,21078.87073,23627.69327,26849.647,29291.31956,31885.66047,35107.10086,38276.30871,41084.02141,44057.62639,47034.87425,50027.92404,53109.78475,56382.2886,59830.13155
Cote d'Ivoire,CIV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,575389.9852,610245.9782,594927.5389,655433.3312,741947.6556,692440.5593,744956.9891,751700.4537,815694.7572,859874.813,911028.8486,954762.3354,951074.9679,961772.4397,957531.0357,989496.2115,1067121.464,1094237,1160153.548,1136054.734,967784.0898,958695.858,919927.7903,847319.0727,791109.9529,794370.8747,789298.4766,757803.6467,739022.3432,733842.1105,700089.068,675587.9056,650264.8651,626556.2131,610310.9896,632421.0746,659683.3444,663322.1615,675546.3642,667498.5843,636923.5406,622623.2382,598791.4663,578298.0558,573339.1565,571005.6514,567285.9081,564762.1419,566293.5424,571484.9191,569562.1915,531736.8932,574501.0485,610267.7998,647513.1493,687219.0962,723421.1853,759539.5006,795432.9988
